w_0                   w_a                   w_p                   w_phi                 Omega_M               Omega_DE              x1                    x2                    y1                    y2                    c1                    c2                    u                     Lambda_1              Lambda_2              n                     
-0.530983891593       -0.159028901165       -0.583993525315       -0.508703783342       0.766879063148        0.233120935111        0.139401849599        1.54131141845e-14     0.13821818488         1.35248350193e-14     1.95696851154         1.91089622842         4.17218033853e-05     16.2829361383         5.50516938119         15                    
-0.262821014246       -0.381330943263       -0.389931328667       -0.293160008096       0.835205954489        0.164794044417        0.024309413963        4.09426735746e-14     0.015657961097        2.7127438488e-14      1.25987775767         1.88393620772         3.30873529423e-05     21.2398581374         10.6237550319         15                    
-0.233843151537       -0.408246800499       -0.36992541837        -0.273036133652       0.796576534844        0.203423463445        0.120862692603        4.09370852468e-14     0.0686278655614       2.5582293789e-14      1.24563893821         1.56986977767         4.13701080615e-05     24.456534601          9.85586571113         15                    
-0.129422622035       -0.32666443459        -0.238310766898       -0.165776100586       0.836518171492        0.16348182667         0.0415574366332       8.41233749833e-14     0.0261026739995       4.78440966704e-14     1.38839147584         1.70161708104         4.28780598097e-05     23.1712595079         13.3651202637         15                    
-0.262417970157       -0.333328938796       -0.373527616422       -0.299339990539       0.463929164133        0.536070834332        0.0417230407034       7.2082319496e-14      0.0306124338743       6.50546034201e-14     1.10192856869         1.99221203166         3.9172621081e-05      16.5876373848         5.40380926833         15                    
-0.608758270387       -0.294206589444       -0.706827133535       -0.616923241337       0.62198835447         0.37801164469         0.11899157158         1.73069618164e-14     0.0696056018253       1.65496179876e-14     1.58994978042         1.52389548538         2.89945262941e-05     27.1541988861         3.19952943263         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.276486171967        2.16004881338e-14     0.27643035812         1.13056425954e-14     1.9324890834          1.8245735437          nan                   15.9666942003         17.3241421834         15                    
-0.437625789722       -0.279939051917       -0.530938807027       -0.470647817448       0.215395041515        0.784604958272        0.0280017657442       9.41071791595e-14     0.0200202500079       8.63837412963e-14     1.39114195668         1.31153068789         1.45890430575e-05     19.8765459108         2.88834298533         15                    
-0.414396469708       -0.29334076922        -0.512176726115       -0.448666005747       0.241737898634        0.758262101124        0.0917537904684       9.12612656866e-14     0.0622260089165       7.89870825618e-14     1.34980214854         1.22776274659         1.55566631035e-05     20.8087078332         3.12153928849         15                    
-0.301648345933       -0.409706834866       -0.438217290888       -0.340760942603       0.64432689091         0.355673106217        0.120729603974        3.12521474904e-14     0.070801695475        2.45586254945e-14     1.14206983854         1.72117874179         5.36007524371e-05     22.3969838871         6.36935020168         15                    
